Seed,Frame_Quantity,geom_hline
1,2,35
2,2,32
3,2,29
4,2,25
5,2,30
6,2,25
7,2,25
8,2,32
9,2,27
10,2,28
11,2,23
12,2,29
13,2,32
14,2,28
15,2,24
16,2,29
17,2,27
18,2,28
19,2,31
20,2,32
1,6,52.5
2,6,52.5
3,6,53.5
4,6,46
5,6,50
6,6,47.3
7,6,59
8,6,44
9,6,48
10,6,43
11,6,43.4
12,6,47
13,6,48
14,6,47
15,6,52
16,6,49
17,6,52.5
18,6,49
19,6,50.5
20,6,50
1,10,53
2,10,54
3,10,55
4,10,51
5,10,52
6,10,53
7,10,60.3
8,10,49
9,10,51.5
10,10,50
11,10,52.5
12,10,53.4
13,10,49.5
14,10,51
15,10,61
16,10,59
17,10,59
18,10,51.5
19,10,61
20,10,57
1,14,53
2,14,50
3,14,50
4,14,47.5
5,14,49
6,14,45.5
7,14,55
8,14,42
9,14,42
10,14,46
11,14,51.2
12,14,55.7
13,14,51
14,14,50
15,14,59.5
16,14,58.3
17,14,49
18,14,52.1
19,14,56
20,14,55
1,18,82
2,18,80
3,18,96
4,18,75
5,18,84
6,18,68
7,18,90.2
8,18,73
9,18,75
10,18,75
11,18,80
12,18,79.5
13,18,78
14,18,70.5
15,18,85
16,18,95
17,18,78
18,18,73.5
19,18,85
20,18,88.5
1,22,110
2,22,117
3,22,127.5
4,22,100
5,22,116
6,22,105.5
7,22,121
8,22,90.5
9,22,113
10,22,110
11,22,110
12,22,110
13,22,98
14,22,105
15,22,117
16,22,112
17,22,110.5
18,22,102.5
19,22,110
20,22,109
1,26,94
2,26,102
3,26,95
4,26,88
5,26,88
6,26,85
7,26,90
8,26,85
9,26,78
10,26,107
11,26,89
12,26,87
13,26,92
14,26,92.5
15,26,112
16,26,102
17,26,90
18,26,90
19,26,95
20,26,86
1,30,89
2,30,100
3,30,103
4,30,80
5,30,92
6,30,72.5
7,30,87
8,30,76.3
9,30,77.6
10,30,100
11,30,93.5
12,30,85
13,30,103
14,30,75
15,30,102
16,30,102
17,30,87
18,30,82
19,30,95
20,30,100
1,34,111
2,34,123
3,34,120
4,34,97.5
5,34,105.5
6,34,109
7,34,115
8,34,97
9,34,101
10,34,100
11,34,102
12,34,101
13,34,104
14,34,101
15,34,109
16,34,120
17,34,110
18,34,100
19,34,107
20,34,103.5
1,38,90
2,38,95
3,38,90
4,38,81
5,38,86
6,38,77.5
7,38,88
8,38,77.5
9,38,88.5
10,38,98
11,38,92.5
12,38,79
13,38,92
14,38,85
15,38,95
16,38,90.5
17,38,83
18,38,77
19,38,87
20,38,87.2
1,42,100
2,42,122
3,42,121
4,42,92
5,42,96
6,42,96
7,42,108
8,42,95
9,42,109
10,42,107
11,42,113
12,42,93
13,42,105
14,42,105
15,42,115.5
16,42,110
17,42,95
18,42,92
19,42,99
20,42,96
1,46,124.5
2,46,121
3,46,125
4,46,112
5,46,115
6,46,105
7,46,119
8,46,110.5
9,46,112
10,46,144
11,46,135.5
12,46,110
13,46,132
14,46,129.2
15,46,138
16,46,128
17,46,135
18,46,110
19,46,125
20,46,121.2
1,50,103
2,50,118.3
3,50,126
4,50,102
5,50,110
6,50,102
7,50,118
8,50,112
9,50,110
10,50,105
11,50,120
12,50,115
13,50,115
14,50,110
15,50,122
16,50,119.5
17,50,125
18,50,96
19,50,104
20,50,115
1,54,120.5
2,54,143
3,54,133
4,54,110
5,54,123
6,54,119
7,54,135
8,54,125
9,54,120
10,54,123
11,54,123.5
12,54,125
13,54,121
14,54,120
15,54,140
16,54,126
17,54,132
18,54,105
19,54,118
20,54,120
1,58,113
2,58,131
3,58,130
4,58,115.5
5,58,123
6,58,119.5
7,58,126
8,58,116
9,58,141
10,58,121
11,58,135
12,58,135
13,58,122.4
14,58,123
15,58,135
16,58,136
17,58,133
18,58,110
19,58,115
20,58,120
1,62,121
2,62,143
3,62,128.5
4,62,119.5
5,62,126
6,62,135
7,62,126
8,62,125
9,62,130.5
10,62,137.5
11,62,140
12,62,139
13,62,129
14,62,132
15,62,145
16,62,139
17,62,147
18,62,115
19,62,118
20,62,128
1,66,132.5
2,66,149
3,66,135
4,66,120
5,66,130
6,66,140
7,66,135
8,66,127
9,66,129
10,66,162
11,66,138
12,66,125
13,66,136
14,66,144
15,66,142
16,66,142.5
17,66,137
18,66,123
19,66,140
20,66,130
1,70,134
2,70,153
3,70,150.5
4,70,144
5,70,148.5
6,70,147
7,70,148
8,70,141
9,70,158
10,70,167
11,70,148
12,70,140
13,70,150
14,70,147
15,70,150
16,70,150
17,70,151
18,70,145
19,70,135
20,70,147.5
